id,type,title,alt_text,area,system,collection,color,color_source,chip_description,shot_type,setting,market,date,quality,website_ready,tags,drive_path,web_copy
adec79473713,photo,Basement with Gold Mine full flake floor,"Low angle view of a glossy gray, white and black full flake floor in a basement with dark painted brick walls",basement,full_flake,Vintage Mica,Gold Mine,folder,"gray, white and black chips with a few tan flecks, medium size",finished,residential,,,4,True,basement; full flake; gold mine; gray chips; white chips; black chips; glossy floor; painted brick; low angle; finished floor,Basements (Full Broadcast)/Gold Mine/126487718_765497307651746_1371524009022961621_n.jpg,m/adec79473713.jpg
1a03ed210ca7,photo,Basement with black and gray flake floor,"Low angle view of a finished basement floor with black, white and gray flake coating, painted brick walls and dark ceiling. Full flake basement floor coating.",basement,full_flake,Vintage Mica,Gold Mine,folder,"black, white and gray chips with a few tan chips, medium size",finished,residential,,,4,True,basement; full flake; black chips; gray chips; white chips; painted brick; dark ceiling; support posts; glossy floor; low angle,Basements (Full Broadcast)/Gold Mine/38E48B51-9DC9-47BE-9074-2FAF72244A0E.JPG,m/1a03ed210ca7.jpg
1c8d2a5293a4,photo,Basement with gray full flake floor,"Low angle view of a glossy gray, black and white full flake basement floor with painted block walls and dark ceiling",basement,full_flake,Vintage Mica,Gold Mine,folder,"gray, black, white and tan chips, medium size, glossy clear coat",finished,residential,,,4,True,basement; full flake; gray chips; black chips; glossy floor; painted brick walls; dark ceiling; finished floor; low angle,Basements (Full Broadcast)/Gold Mine/Gold Mine.JPG,m/1c8d2a5293a4.jpg
e5d323183a53,photo,Basement with gray full flake floor,"Finished basement with gray full flake floor coating, white painted walls and water heater",basement,full_flake,Vintage Mica,Gold Mine,folder,"gray, white and black chips, small to medium size",finished,residential,,,4,True,basement; full flake; gray chips; white walls; water heater; exposed ceiling; finished floor; glossy,Basements (Full Broadcast)/Gold Mine/IMG_4767.HEIC,m/e5d323183a53.jpg
9dde0070d68c,photo,Basement with black and white full flake floor,"Finished basement with a glossy full flake floor of black, white and gray chips, exposed studs and painted block wall, full flake basement floor coating",basement,full_flake,Vintage Mica,Gold Mine,folder,"black, white and gray chips, medium size",finished,residential,,,4,False,basement; full flake; black white gray chips; glossy floor; painted block wall; exposed studs; hanging jackets; finished floor,Basements (Full Broadcast)/Gold Mine/IMG_4769.HEIC,m/9dde0070d68c.jpg
efbcdeec9c08,photo,Finished basement with Gold Mine full flake floor,"Finished basement with white block walls, furnace and a light gray full flake floor coating in Gold Mine",basement,full_flake,Vintage Mica,Gold Mine,folder,"light gray base with white, gray and black chips, medium size",finished,residential,,,4,True,basement; full flake; gold mine; gray chips; white chips; furnace; painted block walls; exposed ceiling; finished floor,Basements (Full Broadcast)/Gold Mine/IMG_4771.HEIC,m/efbcdeec9c08.jpg
e046e5e3c5be,photo,Basement finished with gray full flake floor,"Low angle view of a basement with a glossy full flake floor, white brick wall and open ceiling, full flake basement floor.",basement,full_flake,Vintage Mica,Gold Mine,folder,"gray, white, black and tan chips, medium size",finished,residential,,,4,True,basement; full flake; gray chips; white brick wall; open ceiling; glossy floor; low angle; finished floor,Basements (Full Broadcast)/Gold Mine/IMG_4772.HEIC,m/e046e5e3c5be.jpg
4fa870c09314,photo,Finished basement with light full flake floor,"Basement with white, gray and black full flake floor, painted brick wall and open ceiling",basement,full_flake,Vintage Mica,Gold Mine,folder,"white, gray and black chips with scattered tan and gold chips, medium size",finished,residential,,,4,True,basement; full flake; white gray black chips; tan chips; painted brick wall; open ceiling; support posts; glossy finish; finished floor,Basements (Full Broadcast)/Gold Mine/IMG_4773 2.HEIC,m/4fa870c09314.jpg
dec05065e95d,photo,Basement with gray tan and black full flake floor,"Finished basement with glossy full flake floor in gray, black and tan chips, white painted walls and black ceiling",basement,full_flake,Vintage Mica,Gold Mine,folder,"gray base with black, white and tan chips, small to medium size",finished,residential,,,4,True,basement; full flake; gray floor; tan chips; black chips; glossy; white walls; black ceiling; finished floor; residential,Basements (Full Broadcast)/Gold Mine/IMG_4774.HEIC,m/dec05065e95d.jpg
bfcae343544c,photo,Basement with gray full flake floor,"Basement with glossy gray full flake floor, support post, stairs and hanging coats, full flake basement floor coating",basement,full_flake,Vintage Mica,Gold Mine,folder,"gray base with white, black and light gray chips, small to medium size, glossy finish",finished,residential,,,4,True,basement; full flake; gray chips; glossy floor; support post; stairs; finished floor; residential,Basements (Full Broadcast)/Gold Mine/IMG_4776.HEIC,m/bfcae343544c.jpg
62de92ef5b32,photo,Basement with gray white full flake floor,"Finished basement with a gray, white and black full flake floor, support poles, furnace and open stair framing; full flake basement floor coating",basement,full_flake,Vintage Mica,Gold Mine,folder,"white, gray and black chips with light tan accents, small to medium size",finished,residential,,,4,True,basement; full flake; gray chips; white chips; black chips; support poles; furnace; unfinished ceiling; glossy floor; finished,Basements (Full Broadcast)/Gold Mine/IMG_4777.HEIC,m/62de92ef5b32.jpg
a36f997cb4ba,photo,Basement with white and gray full flake floor,"Finished basement with glossy white, gray and black full flake floor coating, painted brick wall and black ceiling",basement,full_flake,Vintage Mica,Gold Mine,folder,"white, gray and black chips with light tan accents, small to medium size",finished,residential,,,4,True,basement; full flake; white gray black chips; glossy floor; painted brick wall; black ceiling; finished floor; gold mine,Basements (Full Broadcast)/Gold Mine/IMG_4780 2.HEIC,m/a36f997cb4ba.jpg
48bea2a1ddb3,photo,Finished basement with tan full flake floor,"Finished basement with light tan and gray full flake floor, white slatwall and painted black ceiling",basement,full_flake,Vintage Mica,Gold Mine,folder,"light tan and gray base with black, white and gold flecks, small chips",finished,residential,,,4,True,basement; full flake; finished floor; tan chips; black chips; gold flecks; slatwall; black ceiling; glossy; small chips,Basements (Full Broadcast)/Gold Mine/IMG_4781.HEIC,m/48bea2a1ddb3.jpg
f401afb85210,photo,Basement with gray full flake floor,"Finished basement with gray full flake floor, painted brick wall and black ceiling, full flake basement floor coating",basement,full_flake,Vintage Mica,Gold Mine,folder,"gray base with gray, white, black and tan chips, small to medium size",finished,residential,,,4,True,basement; full flake; gray chips; tan chips; painted brick wall; black ceiling; glossy floor; finished floor; empty room,Basements (Full Broadcast)/Gold Mine/IMG_4782.HEIC,m/f401afb85210.jpg
ee22ed6bce65,photo,Basement with gray full flake floor,"Finished basement with gray full flake floor, white brick wall and black ceiling, full flake basement floor coating",basement,full_flake,Vintage Mica,Gold Mine,folder,"gray base with black, white and small tan-gold chips, medium size",finished,residential,,,4,True,basement; full flake; gray chips; black chips; white chips; tan chips; white brick wall; black ceiling; finished floor; glossy,Basements (Full Broadcast)/Gold Mine/IMG_4783 2.HEIC,m/ee22ed6bce65.jpg
7d6236f8f6fa,photo,Basement with gray full flake floor,"Basement with gray and white full flake floor coating, painted brick walls and support columns",basement,full_flake,Vintage Mica,Gold Mine,folder,"gray, white and cream chips, medium size",finished,residential,,,4,True,basement; full flake; gold mine; gray floor; white chips; painted brick walls; support columns; black ceiling; finished floor; basement floor coating,Basements (Full Broadcast)/Gold Mine/IMG_4784.HEIC,m/7d6236f8f6fa.jpg
7c0eea7f12d4,photo,Basement with Gold Mine full flake floor,"Finished basement with glossy full flake floor in white, gray and black chips, painted brick walls and support poles",basement,full_flake,Vintage Mica,Gold Mine,folder,"white, gray and black chips with scattered gold flecks, small to medium size",finished,residential,,,4,True,basement; full flake; gold mine; white gray black chips; gold flecks; glossy floor; painted brick walls; support poles; finished floor; black ceiling,Basements (Full Broadcast)/Gold Mine/IMG_4785.HEIC,m/7c0eea7f12d4.jpg
6b97b5df687b,photo,Basement with gray full flake floor,"Finished basement with gray full flake floor coating, white block walls and painted black ceiling",basement,full_flake,Vintage Mica,Gold Mine,folder,"gray base with black, white and small tan chips, medium size",finished,residential,,,4,True,basement; full flake; gray floor; gray black white chips; block walls; support poles; glossy; finished floor; black ceiling,Basements (Full Broadcast)/Gold Mine/IMG_4786.HEIC,m/6b97b5df687b.jpg
804655fcdf6d,photo,Basement with white and gray full flake floor,"Finished basement with white painted brick walls and a gray, white and black full flake floor coating",basement,full_flake,Vintage Mica,Gold Mine,folder,"white, black and gray chips, small to medium size",finished,residential,,,4,True,basement; full flake; gold mine; gray floor; white brick; painted brick; support poles; glossy finish; finished floor; black ceiling,Basements (Full Broadcast)/Gold Mine/IMG_4787.HEIC,m/804655fcdf6d.jpg
f341eba42491,photo,Basement with Gold Mine full flake floor,"Finished basement with glossy full flake floor in white, gray, black and gold chips, full flake basement floor coating",basement,full_flake,Vintage Mica,Gold Mine,folder,"white, gray and black chips with gold and tan accents, small to medium size",finished,residential,,,4,True,basement; full flake; gold mine; vintage mica; white and gray chips; gold accents; glossy floor; finished floor; exposed ceiling,Basements (Full Broadcast)/Gold Mine/IMG_4788.HEIC,m/f341eba42491.jpg
52974e8f91ee,photo,Basement with gray full flake floor,"Low angle view of a basement with a glossy gray full flake floor, stone foundation wall and exposed joist ceiling",basement,full_flake,Ultra,Granite,folder,"gray, black and white chips, medium size, glossy clear coat",finished,residential,,2022-02-21,4,True,basement; full flake; gray chips; black and white chips; glossy floor; stone wall; exposed ceiling; finished floor; full flake basement floor,Basements (Full Broadcast)/Granite/#8.JPG,m/52974e8f91ee.jpg
2b15073cb3fd,photo,Basement with gray Granite full flake floor,"Finished basement with gray full flake floor coating, exposed joist ceiling and support posts",basement,full_flake,Ultra,Granite,folder,"gray, white and black chips, small to medium size",finished,residential,,,4,True,basement; full flake; gray chips; granite; glossy floor; exposed ceiling; support posts; finished floor; residential,Basements (Full Broadcast)/Granite/1B450E03-BD44-4742-BC56-FB961CADFA15.JPG,m/2b15073cb3fd.jpg
83c14b147016,photo,Basement with gray full flake floor,"Finished basement with gray, black and white full flake floor coating, painted brick walls and exposed joist ceiling",basement,full_flake,Ultra,Granite,folder,"gray, black and white chips, medium size",finished,residential,,,4,True,basement; full flake; gray floor; black and white chips; exposed ceiling; painted brick; glossy; finished floor; furnace room,Basements (Full Broadcast)/Granite/20D9EBFF-1503-4F71-9F64-22541B290881.JPG,m/83c14b147016.jpg
dddf20078836,photo,Basement with gray Granite full flake floor,Glossy gray full flake epoxy floor in an unfinished basement with stone wall and exposed joists,basement,full_flake,Ultra,Granite,folder,"gray, black and white chips, small to medium size, glossy clear coat",finished,residential,,,4,True,basement; full flake; gray chips; black and white chips; glossy floor; stone wall; exposed ceiling; flake floor; granite; unfinished basement,Basements (Full Broadcast)/Granite/241799864_942301489971326_8813046788424938165_n.jpg,m/dddf20078836.jpg
f21a4f3b932c,photo,Basement with gray full flake floor,"Finished basement with glossy gray, white and black full flake floor coating, painted brick walls and exposed joists",basement,full_flake,Ultra,Granite,folder,"gray, white and black chips, medium size, glossy clear coat",finished,residential,,,4,True,basement; full flake; gray chips; white chips; black chips; glossy floor; painted brick; exposed ceiling; finished floor,Basements (Full Broadcast)/Granite/294935610_796059421551872_8743636685117276162_n.jpg,m/f21a4f3b932c.jpg
1291bdadac21,photo,Basement with Granite full flake floor,"Basement with gray and black full flake floor, stone wall, exposed joists and utilities",basement,full_flake,Ultra,Granite,folder,"gray, black and white chips, medium mix",finished,residential,,,3,False,basement; full flake; granite; gray chips; stone wall; exposed ceiling; utilities; glossy; low angle; finished,Basements (Full Broadcast)/Granite/86276BB3-2218-45B3-A353-1FDD189022F4.JPG,m/1291bdadac21.jpg
7d62e252d60e,photo,Basement with gray full flake floor,Finished basement with white painted block walls and a glossy gray full flake floor coating,basement,full_flake,Ultra,Granite,folder,"gray base with white, black and light gray chips, small to medium size",finished,residential,,,4,True,basement; full flake; gray floor; gray white black chips; glossy; painted block walls; finished floor; epoxy floor,Basements (Full Broadcast)/Granite/AB5CA23E-3D05-4AE7-8A83-AA7C273DA0D0.JPG,m/7d62e252d60e.jpg
16675b2bcae2,photo,Basement with Granite full flake floor,"Finished basement with gray Granite full flake floor, painted block walls and stairs, full flake basement floor coating.",basement,full_flake,Ultra,Granite,folder,"gray, black and white chips, fine to medium size",finished,residential,,,4,True,basement; full flake; granite; gray chips; block walls; stairs; glossy floor; finished floor; residential,Basements (Full Broadcast)/Granite/C23305BE-CFF3-483A-961D-4BAD7433D919.JPG,m/16675b2bcae2.jpg
5a031c305f31,photo,Basement with gray Granite full flake floor,"Glossy gray full flake basement floor with painted brick wall and exposed studs, Granite flake garage and basement floor coating",basement,full_flake,Ultra,Granite,folder,"gray, white and black chips, small to medium size, on a gray base",finished,residential,,,4,True,basement; full flake; granite; gray chips; black chips; white chips; painted brick; exposed studs; glossy floor; unfinished basement,Basements (Full Broadcast)/Granite/E1DF759F-CCBC-4551-A723-73E5B6BD74B9.JPG,m/5a031c305f31.jpg
d7acf0ccedc4,photo,Basement with Granite full flake floor,"Basement with gray white and black full flake floor, full flake basement floor coating",basement,full_flake,Ultra,Granite,folder,"gray, white and black chips, medium size",finished,residential,,2022-02-21,4,True,basement; full flake; granite; gray chips; white brick wall; exposed studs; utility room; glossy floor; low angle; finished floor,Basements (Full Broadcast)/Granite/IMG_0236.JPG,m/d7acf0ccedc4.jpg
76641f2c585e,photo,Basement with gray full flake floor,Finished basement floor with gray full flake coating and painted white brick walls,basement,full_flake,Ultra,Granite,folder,"gray, black and white chips, medium size",finished,residential,,2022-02-21,5,True,basement; full flake; granite; gray chips; white brick walls; exposed joists; floor coating; finished floor,Basements (Full Broadcast)/Granite/IMG_0265.JPG,m/76641f2c585e.jpg
d5c5c293c573,photo,Basement with gray Granite full flake floor,"Finished basement with gray full flake floor coating, glossy clear coat and exposed ceiling joists",basement,full_flake,Ultra,Granite,folder,"gray base with black, white and gray chips, small to medium size",finished,residential,,2022-02-21,4,True,basement; full flake; granite; gray floor; glossy; exposed ceiling; finished floor; storage shelves; black gray white chips,Basements (Full Broadcast)/Granite/IMG_0267.JPG,m/d5c5c293c573.jpg
291f631c01ec,photo,Basement with gray Granite full flake floor,"Finished basement floor with gray, white and black full flake coating and glossy clear coat, full flake basement floor",basement,full_flake,Ultra,Granite,folder,"gray, white and black chips, small to medium size, glossy clear coat",finished,residential,,,3,False,basement; full flake; gray chips; black chips; white chips; glossy floor; cinder block walls; finished floor,Basements (Full Broadcast)/Granite/IMG_0680.JPG,m/291f631c01ec.jpg
8f1f2426da34,photo,Basement with gray full flake floor,"Finished basement with glossy gray full flake floor coating, painted block walls and stairs",basement,full_flake,Ultra,Granite,folder,"gray, white and black chips, small to medium size",finished,residential,,2022-02-21,4,True,basement; full flake; gray floor; glossy; cinder block walls; stairs; finished floor; gray white black chips,Basements (Full Broadcast)/Granite/IMG_1675.JPG,m/8f1f2426da34.jpg
cb1dfce1f426,photo,Basement utility room full flake floor,"Finished basement with tan full flake floor coating near furnace, water heater and tool bench",basement,full_flake,,,,"tan, brown and black chips, small to medium size",finished,residential,,,3,False,basement; full flake; tan chips; furnace; water heater; tool wall; finished floor; glossy,Basements (Full Broadcast)/IMG_0049B5334CB5-1.jpeg,m/cb1dfce1f426.jpg
c0fccfb6b532,photo,Basement storage room with tan full flake floor,"Basement with tan and brown full flake coated floor, shelves, furnace and water heater visible, full flake basement floor coating",basement,full_flake,,,,"tan, brown and black chips with some white, medium size",finished,residential,,2022-02-21,3,False,basement; full flake; tan brown chips; epoxy floor; storage shelves; water heater; furnace; exposed ceiling; speckled floor,Basements (Full Broadcast)/IMG_0226.JPG,m/c0fccfb6b532.jpg
8110249208cf,photo,Finished basement with tan full flake floor,Finished basement with wood support posts and a tan full flake garage floor coating with brown and black chips,basement,full_flake,,,,"tan, brown and black chips, small to medium size",finished,residential,,2022-02-21,4,True,basement; full flake; tan chips; brown chips; black chips; wood beams; support posts; drop ceiling; finished floor; wainscoting,Basements (Full Broadcast)/IMG_0243.JPG,m/8110249208cf.jpg
58c1c40bba85,photo,Basement with light gray full flake floor,Finished basement with wood panel walls and a light gray full flake garage floor coating,basement,full_flake,,,,"light gray and white chips with black speckles, small size",finished,residential,,,3,False,basement; full flake; gray chips; white chips; black speckles; wood panel walls; wet bar; finished floor; residential; epoxy flake floor,Basements (Full Broadcast)/IMG_0766.JPG,m/58c1c40bba85.jpg
608266a92389,photo,Basement with tan full flake floor,"Finished basement with glossy tan and brown full flake floor coating, water heater and sump pump visible",basement,full_flake,,,,"tan, brown and black chips with some white, small to medium size",finished,residential,,,4,True,basement; full flake; tan chips; brown chips; water heater; sump pump; glossy; finished floor; residential,Basements (Full Broadcast)/IMG_0780 2.JPG,m/608266a92389.jpg
1e1c82aeeb61,photo,Basement utility room with tan full flake floor,Basement utility area with water heater and furnace on a tan full flake garage floor coating,basement,full_flake,,,,"tan, brown, black and white chips, small to medium size",finished,residential,,,3,False,basement; full flake; utility room; water heater; furnace; tan chips; brown chips; finished floor,Basements (Full Broadcast)/IMG_0781 2.JPG,m/1e1c82aeeb61.jpg
f4511e950d59,photo,Basement with light gray full flake floor,"Finished basement with light gray full flake floor coating, wood staircase and exposed ceiling joists",basement,full_flake,,,,"light gray base with small gray, white and brown chips",finished,residential,,,4,True,basement; full flake; gray chips; finished floor; wood stairs; exposed ceiling; residential; glossy floor,Basements (Full Broadcast)/IMG_1788.JPG,m/f4511e950d59.jpg
83cfb94c9b23,photo,Basement floor with tan full flake coating,"Finished basement with glossy tan full flake epoxy floor, stairs and floor drain visible, full flake basement floor coating",basement,full_flake,,,,"tan and brown chips with black specks, small to medium size",finished,residential,,,4,True,basement; full flake; tan chips; brown chips; glossy floor; floor drain; stairs; residential; finished floor,Basements (Full Broadcast)/IMG_2144.JPG,m/83cfb94c9b23.jpg
866f5b89b1a8,photo,Basement bar room with gray full flake floor,"Finished basement with gray full flake epoxy floor, wooden bar and football memorabilia on the walls",basement,full_flake,,,,"warm gray and brown chips with white and black accents, small to medium size",finished,residential,,,4,True,basement; full flake; gray chips; brown chips; bar; man cave; football decor; glossy floor; finished floor; sports memorabilia,Basements (Full Broadcast)/IMG_2173.JPG,m/866f5b89b1a8.jpg
16ac6ccaf534,photo,Basement bar area with gray full flake floor,"Finished basement bar with gray flake floor, carpeted stairs and LED strip lighting",basement,full_flake,,,,"gray and beige chips with black speckles, small to medium size",finished,residential,,,4,True,basement; full flake floor; bar area; carpeted stairs; led strip lighting; gray chips; sports memorabilia; home bar; tv; wood bar,Basements (Full Broadcast)/IMG_2174.JPG,m/16ac6ccaf534.jpg
8f8336a05fc5,photo,Basement with glossy tan coated floor,Empty basement room with a glossy tan coated concrete floor and an egress window,basement,full_flake,,,,"glossy solid tan coating, no chips visible",finished,residential,,,4,True,basement; solid color floor; tan floor; glossy finish; egress window; empty room; finished floor; concrete coating,Basements (Full Broadcast)/IMG_2636.JPG,m/8f8336a05fc5.jpg
c77dd269cd9c,photo,Basement with light gray full flake floor,"Basement with light gray full flake floor, stairs and red support poles, full flake basement floor coating",basement,full_flake,,,,"light gray and beige fine chips, small size",finished,residential,,,4,True,basement; full flake; gray chips; stairs; support poles; sink; finished floor,Basements (Full Broadcast)/IMG_2894.JPG,m/c77dd269cd9c.jpg
c4fe80e0e3ad,photo,Basement with gray full flake floor,"Basement with gray full flake floor, exposed wood joists and white insulated walls",basement,full_flake,,,,"gray, white and black chips, small to medium size",finished,residential,,,4,True,basement; full flake; gray chips; gray white black chips; exposed joists; support poles; small window; finished floor,Basements (Full Broadcast)/IMG_2900.JPG,m/c4fe80e0e3ad.jpg
4e961b1c2c35,photo,Unfinished basement with gray full flake floor,"Open basement with support poles, water heater and a glossy gray full flake floor coating",basement,full_flake,,,,"light gray base with white, gray and black chips, small to medium size",finished,residential,,,4,True,basement; full flake; gray chips; unfinished basement; support poles; water heater; exposed joists; glossy floor; white black gray chips,Basements (Full Broadcast)/IMG_2901.JPG,m/4e961b1c2c35.jpg
482afa82c526,photo,Basement rec room with gray full flake floor,"Finished basement rec room with a glossy gray full flake floor, bar and sports memorabilia on the walls",basement,full_flake,,,,"small light gray, white and tan chips on a glossy base",finished,residential,,,3,False,basement; full flake; gray chips; rec room; bar; glossy floor; finished; sports memorabilia; residential,Basements (Full Broadcast)/IMG_3160.JPG,m/482afa82c526.jpg
713ece2d4363,photo,Basement office with gray full flake floor,"Basement room with light gray full flake epoxy floor, desks, and bookshelf; full flake basement floor coating",basement,full_flake,,,,"light gray, white and black chips, small to medium size",finished,residential,,,3,False,basement; full flake floor; gray chips; light gray; desks; bookshelves; office nook; finished floor; residential,Basements (Full Broadcast)/IMG_3596.JPG,m/713ece2d4363.jpg
4e1afa9f4b01,photo,Finished basement with gray full flake floor,"Finished basement with glossy gray full flake floor coating, support poles, stairs and exposed ceiling",basement,full_flake,,,,"small gray, tan and white chips, fine to medium size",finished,residential,,,4,True,basement; full flake; gray floor; finished basement; support poles; exposed ceiling; stairs; glossy floor; speckled floor,Basements (Full Broadcast)/IMG_3710 2.JPG,m/4e1afa9f4b01.jpg
6acff57ad3fd,photo,Basement with dark gray full flake floor,"Finished basement with glossy dark gray full flake floor, support posts and wooden stairs, full flake basement floor coating",basement,full_flake,,,,"dark gray base with black, white and gray chips plus scattered tan flecks",finished,residential,,2022-02-21,4,True,basement; full flake; dark gray; black and gray chips; glossy; support posts; stairs; finished floor; residential,Basements (Full Broadcast)/IMG_3762.JPG,m/6acff57ad3fd.jpg
902de3430952,photo,Basement with gray full flake floor,"Basement room with gray full flake floor coating, wall mounted TVs and doorway to adjacent room",basement,full_flake,,,,"light gray base with black, white and gray chips, small to medium size",finished,residential,,2021-12-23,4,True,basement; full flake; gray floor; gray chips; tv wall; finished floor; residential; speckled floor,Basements (Full Broadcast)/IMG_3820.JPG,m/902de3430952.jpg
ff05b31471b4,photo,Basement with tan full flake floor and drain,"Basement with glossy tan full flake floor coating, floor drain and wood baseboards",basement,full_flake,,,,"small tan, beige and brown chips on a tan base, glossy clear coat",finished,residential,,,3,False,basement; full flake; tan chips; beige floor; floor drain; glossy; wood baseboards; finished,Basements (Full Broadcast)/IMG_3997 2.PNG,m/ff05b31471b4.jpg
41d689a2f8d0,photo,Basement with tan full flake floor,Basement with tan beige full flake floor and floor drain.,basement,full_flake,,,,"tan and beige chips with light brown speckling, fine size",finished,residential,,,3,False,basement; full flake; tan chips; beige floor; floor drain; residential; speckled floor; vinyl chips,Basements (Full Broadcast)/IMG_3997.PNG,m/41d689a2f8d0.jpg
2547ac5d420c,photo,Basement with tan full flake floor,"Finished basement with glossy tan full flake floor coating, white brick walls and gray door",basement,full_flake,,,,"tan, brown and black chips, medium size",finished,residential,,,4,True,basement; full flake; tan chips; brown chips; black chips; glossy floor; white brick; finished floor; interior,Basements (Full Broadcast)/IMG_3A93B369DF3F-1.jpeg,m/2547ac5d420c.jpg
8aefd7e57dcb,photo,Basement with gray full flake floor by stairs,"Gray and white flake coated basement floor with stair posts, full flake basement floor coating",basement,full_flake,,,,"gray, white and black chips, small to medium size",finished,residential,,,2,False,basement; full flake; gray chips; white chips; black chips; stairs; finished floor,Basements (Full Broadcast)/IMG_4548.PNG,m/8aefd7e57dcb.jpg
b9dd5cfc08a3,photo,Empty basement with gray tan full flake floor,Finished basement with painted brick walls and a gray tan full flake floor coating with glossy clear coat,basement,full_flake,,,,"gray, tan, white and black chips, small to medium size",finished,residential,,,4,True,basement; full flake; gray tan chips; painted brick walls; glossy finish; empty room; basement window; finished floor,Basements (Full Broadcast)/IMG_4757.HEIC,m/b9dd5cfc08a3.jpg
426c823c7955,photo,Basement with light gray full flake floor,Finished basement with painted block walls and a light gray full flake floor coating,basement,full_flake,,,,"small light gray and tan chips, warm gray overall",finished,residential,,,4,True,basement; full flake; light gray chips; small chips; painted block wall; black ceiling; finished floor; basement window,Basements (Full Broadcast)/IMG_4761.HEIC,m/426c823c7955.jpg
